2020-04-19 14:04:452 INFO  HomePage :38 - Displaying Practice link : [[ChromeDriver: chrome on WINDOWS (b9fc0d0191b7e0a41b63a2041d895e51)] -> partial link text: Login]
2020-04-19 14:04:126 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 14:04:178 INFO  HomePage :45 - Displaying Login link : [[ChromeDriver: chrome on WINDOWS (401e7224ccdc73e60deb83013b110a5e)] -> partial link text: Login]
2020-04-19 14:04:873 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 14:04:874 INFO  HomePage :51 - Displaying Sign Up link : [[ChromeDriver: chrome on WINDOWS (65a11fa379aeea59576f335f34fb2772)] -> xpath: //a[@id='header-sign-up-btn']]
2020-04-19 14:04:138 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 14:04:760 INFO  HomePage :64 - Clicking on Login link : [[ChromeDriver: chrome on WINDOWS (3962b8cf7cab81ce541354ed02336dad)] -> partial link text: Login]
2020-04-19 14:04:86 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 14:04:526 INFO  HomePage :64 - Clicking on Login link : [[ChromeDriver: chrome on WINDOWS (279e3efd4848a8ab5f25084b158ef06d)] -> partial link text: Login]
2020-04-19 14:04:232 INFO  LoginPage :50 - Entering Email : [[ChromeDriver: chrome on WINDOWS (279e3efd4848a8ab5f25084b158ef06d)] -> id: user_email]
2020-04-19 14:04:519 INFO  LoginPage :56 - Entering Password : [[ChromeDriver: chrome on WINDOWS (279e3efd4848a8ab5f25084b158ef06d)] -> id: user_password]
2020-04-19 14:04:543 INFO  LoginPage :63 - Clicking on Login Button: [[ChromeDriver: chrome on WINDOWS (279e3efd4848a8ab5f25084b158ef06d)] -> name: commit]
2020-04-19 14:04:656 INFO  MyCoursesPage :33 - My Course Text is displayed : Proxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(),'My Courses')]'
2020-04-19 14:04:778 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 14:04:140 INFO  HomePage :64 - Clicking on Login link : [[ChromeDriver: chrome on WINDOWS (81c79b2a0bfc41ce1ac0cf1f12a6fd0a)] -> partial link text: Login]
2020-04-19 14:04:475 INFO  LoginPage :50 - Entering Email : [[ChromeDriver: chrome on WINDOWS (81c79b2a0bfc41ce1ac0cf1f12a6fd0a)] -> id: user_email]
2020-04-19 14:04:875 INFO  LoginPage :56 - Entering Password : [[ChromeDriver: chrome on WINDOWS (81c79b2a0bfc41ce1ac0cf1f12a6fd0a)] -> id: user_password]
2020-04-19 14:04:146 INFO  LoginPage :63 - Clicking on Login Button: [[ChromeDriver: chrome on WINDOWS (81c79b2a0bfc41ce1ac0cf1f12a6fd0a)] -> name: commit]
